,,Obihiro_temp_deg,Obihiro_rain_mm,Obihiro_snow_cm,Sapporo_temp_deg,Sapporo_rain_mm,Sapporo_snow_cm,Hachinohe_temp_deg,Hachinohe_rain_mm,Hachinohe_snow_cm,Sendai_temp_deg,Sendai_rain_mm,Sendai_snow_cm
Month,1,-6.9,40.5,52,-3.2,108.4,137,-0.9,42.8,77,2.0,42.3,21
,2,-5.7,28.8,37,-2.7,91.9,116,-0.5,40.1,75,2.4,33.9,18
,3,-0.4,43.8,36,1.1,77.6,74,2.7,52.0,47,5.5,74.4,11
,4,6.0,60.1,9,7.3,54.6,6,8.5,64.3,3,10.7,90.2,1
,5,11.6,84.7,1,13.0,55.5,0,13.1,89.3,0,15.6,110.2,0
,6,15.2,81.1,0,17.0,60.4,0,16.2,105.8,0,19.2,143.7,0
,7,18.9,107.1,0,21.1,90.7,0,20.1,136.1,0,22.9,178.4,0
,8,20.3,141.3,0,22.3,126.8,0,22.5,128.8,0,24.4,157.8,0
,9,16.9,140.2,0,18.6,142.2,0,18.9,167.6,0,21.2,192.6,0
,10,10.3,85.7,0,12.1,109.9,1,13.0,87.2,0,15.7,150.6,0
,11,3.5,54.2,10,5.2,113.8,30,6.9,62.0,6,9.8,58.7,0
,12,-3.8,52.3,51,-0.9,114.5,113,1.8,49.1,40,4.5,44.1,9