city,month,daily_mean,precipitation
Tokyo,1,5.4,59.7
Tokyo,2,6.1,56.5
Tokyo,3,9.4,116
Tokyo,4,14.3,133.7
Tokyo,5,18.8,139.7
Tokyo,6,21.9,167.8
Tokyo,7,25.7,156.2
Tokyo,8,26.9,154.7
Tokyo,9,23.3,224.9
Tokyo,10,18,234.8
Tokyo,11,12.5,96.3
Tokyo,12,7.7,57.9
Sapporo,1,-3.2,108.4
Sapporo,2,-2.7,91.9
Sapporo,3,1.1,77.6
Sapporo,4,7.3,54.6
Sapporo,5,13,55.5
Sapporo,6,17,60.4
Sapporo,7,21.1,90.7
Sapporo,8,22.3,126.8
Sapporo,9,18.6,142.2
Sapporo,10,12.1,109.9
Sapporo,11,5.2,113.8
Sapporo,12,-0.9,114.5
Takasaki,1,2.4,25.3
Takasaki,2,3.1,31.6
Takasaki,3,6.5,62.3
Takasaki,4,12.3,80.1
Takasaki,5,17.1,113
Takasaki,6,20.7,167.7
Takasaki,7,24.2,227.2
Takasaki,8,25.5,240.1
Takasaki,9,21.4,234.9
Takasaki,10,15.5,121.1
Takasaki,11,9.7,48.8
Takasaki,12,4.8,22